UTC,ISO8601,Hour,Open,Highest,Lowest,Closing,Volume
1584270000000,2020-03-15T07:00:00,7,5431.22,5452.93,5385.0,5429.99,4050.096896
1584273600000,2020-03-15T08:00:00,8,5430.0,5594.0,5280.0,5307.78,12252.228406
1584277200000,2020-03-15T09:00:00,9,5307.71,5370.03,5294.13,5333.78,2951.800205
1584280800000,2020-03-15T10:00:00,10,5333.78,5355.24,5221.0,5314.77,4813.640539999999
1584284400000,2020-03-15T11:00:00,11,5314.47,5358.16,5290.98,5324.48,3171.329227
1584288000000,2020-03-15T12:00:00,12,5324.92,5349.98,5260.0,5291.33,3747.991093
1584291600000,2020-03-15T13:00:00,13,5292.1,5397.0,5288.24,5302.71,3521.495998
1584295200000,2020-03-15T14:00:00,14,5302.78,5335.53,5275.0,5307.63,2336.0603929999997
1584298800000,2020-03-15T15:00:00,15,5307.62,5373.93,5292.0,5312.35,2993.432007
1584302400000,2020-03-15T16:00:00,16,5312.33,5325.0,5160.0,5186.43,5748.761092
1584306000000,2020-03-15T17:00:00,17,5186.43,5940.0,5181.58,5903.77,22376.049093999998
1584309600000,2020-03-15T18:00:00,18,5906.85,5908.45,5285.0,5367.76,22974.081197
1584313200000,2020-03-15T19:00:00,19,5369.01,5451.43,5320.0,5361.3,7863.1664599999995
1584316800000,2020-03-15T20:00:00,20,5360.33,5365.42,5188.0,5254.74,9872.949935999999
1584320400000,2020-03-15T21:00:00,21,5254.83,5311.3,5215.54,5301.5,3413.008304
1584324000000,2020-03-15T22:00:00,22,5301.01,5364.98,5288.46,5335.63,4448.196747
1584327600000,2020-03-15T23:00:00,23,5335.63,5337.08,5250.0,5273.34,3043.244794
1584331200000,2020-03-16T00:00:00,0,5272.23,5297.8,5220.0,5243.88,2897.889358
1584334800000,2020-03-16T01:00:00,1,5244.83,5278.0,5128.76,5158.42,5282.985916
1584338400000,2020-03-16T02:00:00,2,5158.31,5160.0,4879.0,5015.09,17667.377598
1584342000000,2020-03-16T03:00:00,3,5017.5,5018.45,4778.0,4785.67,15281.149653999999
1584345600000,2020-03-16T04:00:00,4,4789.99,4950.0,4777.0,4914.6,9734.070142
1584349200000,2020-03-16T05:00:00,5,4915.45,4918.14,4800.0,4820.6,7474.757476999999
1584352800000,2020-03-16T06:00:00,6,4820.07,4822.74,4444.0,4450.95,22781.490979
1584356400000,2020-03-16T07:00:00,7,4452.85,4610.0,4442.12,4565.59,10307.979476
1584360000000,2020-03-16T08:00:00,8,4565.63,4930.28,4545.0,4763.32,18250.339606999998
1584363600000,2020-03-16T09:00:00,9,4762.25,4901.19,4500.0,4840.16,19021.252731
1584367200000,2020-03-16T10:00:00,10,4840.16,5123.05,4729.98,4938.68,19323.544733000002
1584370800000,2020-03-16T11:00:00,11,4937.43,5175.0,4917.91,5151.39,12007.517295
1584374400000,2020-03-16T12:00:00,12,5144.53,5200.0,4960.69,5011.13,8742.054856
1584378000000,2020-03-16T13:00:00,13,5011.13,5090.71,4983.63,5068.73,3941.6234799999997
1584381600000,2020-03-16T14:00:00,14,5067.41,5144.0,5019.0,5119.03,3993.489169
1584385200000,2020-03-16T15:00:00,15,5119.12,5135.38,4828.0,4939.25,9657.708945
1584388800000,2020-03-16T16:00:00,16,4942.5,5035.0,4820.0,4898.33,7084.107916
1584392400000,2020-03-16T17:00:00,17,4896.61,4992.81,4850.77,4962.0,3180.742734
1584396000000,2020-03-16T18:00:00,18,4962.01,5060.0,4850.0,4921.88,5755.610453
1584399600000,2020-03-16T19:00:00,19,4921.88,5050.0,4900.51,5028.97,4113.83046
1584403200000,2020-03-16T20:00:00,20,5028.86,5094.13,4921.45,5070.72,5537.797635
1584406800000,2020-03-16T21:00:00,21,5070.81,5400.0,5050.3,5189.21,15212.282991
1584410400000,2020-03-16T22:00:00,22,5189.8,5300.0,5141.81,5281.58,7225.273713
1584414000000,2020-03-16T23:00:00,23,5281.58,5348.95,5230.13,5311.16,6152.490473
1584417600000,2020-03-17T00:00:00,0,5314.84,5325.0,5205.0,5262.76,4912.779804
1584421200000,2020-03-17T01:00:00,1,5263.95,5295.32,5236.88,5276.13,3086.8526829999996
1584424800000,2020-03-17T02:00:00,2,5276.0,5314.8,5219.99,5272.23,3699.7751439999997
1584428400000,2020-03-17T03:00:00,3,5273.4,5415.87,5256.87,5343.72,7331.949709
1584432000000,2020-03-17T04:00:00,4,5345.19,5440.0,5248.2,5285.01,7875.338605
1584435600000,2020-03-17T05:00:00,5,5282.43,5319.07,5160.0,5228.02,6905.803233
1584439200000,2020-03-17T06:00:00,6,5227.55,5305.0,5214.0,5293.45,3965.023835
1584442800000,2020-03-17T07:00:00,7,5295.0,5325.74,5229.08,5267.61,4340.171558
1584446400000,2020-03-17T08:00:00,8,5266.9,5350.0,5175.0,5206.25,5782.963584
1584450000000,2020-03-17T09:00:00,9,5206.25,5322.41,5071.8,5090.11,9510.615003
1584453600000,2020-03-17T10:00:00,10,5090.11,5245.08,5051.0,5229.21,8193.881906
1584457200000,2020-03-17T11:00:00,11,5229.31,5376.83,5205.09,5362.99,8325.079552
1584460800000,2020-03-17T12:00:00,12,5363.84,5479.0,5315.3,5348.37,10372.236001000001
1584464400000,2020-03-17T13:00:00,13,5349.99,5395.0,5290.0,5354.49,4286.499048
1584468000000,2020-03-17T14:00:00,14,5354.49,5420.0,5335.71,5367.79,5175.880376
1584471600000,2020-03-17T15:00:00,15,5368.85,5399.99,5315.0,5375.11,4168.468986
1584475200000,2020-03-17T16:00:00,16,5375.25,5453.0,5330.0,5429.54,4682.229609
1584478800000,2020-03-17T17:00:00,17,5429.66,5525.0,5356.0,5426.06,6674.789065999999
1584482400000,2020-03-17T18:00:00,18,5425.98,5450.0,5369.15,5424.75,3200.224216
1584486000000,2020-03-17T19:00:00,19,5423.72,5438.0,5305.59,5312.64,3471.519588
1584489600000,2020-03-17T20:00:00,20,5312.64,5419.03,5268.8,5355.78,5234.5350659999995
1584493200000,2020-03-17T21:00:00,21,5355.85,5383.29,5335.65,5365.22,2220.768847
1584496800000,2020-03-17T22:00:00,22,5365.22,5383.99,5320.0,5373.02,2024.622846
1584500400000,2020-03-17T23:00:00,23,5373.0,5413.0,5366.24,5394.15,2387.683623
1584504000000,2020-03-18T00:00:00,0,5394.02,5436.17,5365.71,5418.65,2063.07231
1584507600000,2020-03-18T01:00:00,1,5418.62,5424.0,5259.43,5270.0,4407.054822
1584511200000,2020-03-18T02:00:00,2,5270.05,5296.9,5180.0,5255.29,7536.015332999999
1584514800000,2020-03-18T03:00:00,3,5255.37,5255.37,5104.92,5148.73,6177.681676
1584518400000,2020-03-18T04:00:00,4,5148.73,5185.36,5073.55,5173.0,5702.124527
1584522000000,2020-03-18T05:00:00,5,5173.0,5248.0,5113.01,5143.13,4884.582859
1584525600000,2020-03-18T06:00:00,6,5143.16,5165.0,5010.98,5082.4,7836.088164
1584529200000,2020-03-18T07:00:00,7,5080.7,5162.35,5078.0,5140.39,3749.172925
1584532800000,2020-03-18T08:00:00,8,5141.48,5141.68,5063.17,5112.98,3704.320847
1584536400000,2020-03-18T09:00:00,9,5112.12,5381.76,5009.37,5340.82,17721.196378
1584540000000,2020-03-18T10:00:00,10,5340.63,5390.0,5275.0,5301.06,9615.059062
1584543600000,2020-03-18T11:00:00,11,5302.07,5370.0,5225.58,5328.89,7952.136267
1584547200000,2020-03-18T12:00:00,12,5328.59,5349.0,5150.0,5199.59,11322.268586
1584550800000,2020-03-18T13:00:00,13,5198.04,5259.0,5140.54,5225.23,7540.597344
1584554400000,2020-03-18T14:00:00,14,5226.17,5325.0,5215.11,5316.82,4213.351711
1584558000000,2020-03-18T15:00:00,15,5316.11,5347.29,5288.9,5328.51,4651.266975
1584561600000,2020-03-18T16:00:00,16,5329.23,5392.18,5307.0,5318.91,5159.10834
1584565200000,2020-03-18T17:00:00,17,5318.63,5382.69,5318.39,5353.23,2229.440576
1584568800000,2020-03-18T18:00:00,18,5353.63,5412.0,5257.52,5340.23,5150.564314
1584572400000,2020-03-18T19:00:00,19,5341.12,5409.0,5321.27,5393.04,3644.921496
1584576000000,2020-03-18T20:00:00,20,5393.26,5450.0,5323.74,5347.31,6625.820462
1584579600000,2020-03-18T21:00:00,21,5347.74,5401.92,5340.2,5355.88,2808.5306140000002
1584583200000,2020-03-18T22:00:00,22,5355.88,5365.52,5260.0,5285.9,4067.711957
1584586800000,2020-03-18T23:00:00,23,5285.97,5329.7,5252.53,5286.84,3250.560602
1584590400000,2020-03-19T00:00:00,0,5286.84,5324.06,5277.45,5301.21,2476.076583
1584594000000,2020-03-19T01:00:00,1,5301.24,5379.71,5290.24,5368.18,2886.699365
1584597600000,2020-03-19T02:00:00,2,5368.41,5404.0,5349.21,5374.51,4300.531081
1584601200000,2020-03-19T03:00:00,3,5374.93,5435.44,5344.55,5414.19,4387.966447
1584604800000,2020-03-19T04:00:00,4,5414.19,5448.0,5376.1,5408.28,4695.624853
1584608400000,2020-03-19T05:00:00,5,5409.1,5610.0,5393.53,5593.53,12021.558866
1584612000000,2020-03-19T06:00:00,6,5594.99,5661.0,5530.47,5560.91,10553.311559
1584615600000,2020-03-19T07:00:00,7,5561.79,5632.95,5545.0,5621.86,5421.366933
1584619200000,2020-03-19T08:00:00,8,5622.15,5848.68,5608.21,5848.68,15957.275347
1584622800000,2020-03-19T09:00:00,9,5848.71,5880.22,5685.14,5842.96,15674.171300999998
