UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1567987200000,2019-09-08T20:00:00,Sunday,10381.24,10480.0,10068.5,10303.12,39835.727608
1568073600000,2019-09-09T20:00:00,Monday,10302.58,10384.99,9953.0,10098.15,28915.412225
1568160000000,2019-09-10T20:00:00,Tuesday,10098.19,10293.0,9880.0,10158.33,31953.824562
1568246400000,2019-09-11T20:00:00,Wednesday,10158.75,10448.81,10040.0,10415.01,34511.162755
1568332800000,2019-09-12T20:00:00,Thursday,10415.01,10439.0,10153.0,10342.06,30280.339776
1568419200000,2019-09-13T20:00:00,Friday,10344.13,10419.99,10222.33,10335.02,23621.533519
1568505600000,2019-09-14T20:00:00,Saturday,10332.81,10360.0,10252.15,10302.01,18047.654013
1568592000000,2019-09-15T20:00:00,Sunday,10303.34,10355.0,10078.0,10251.31,28971.401657
1568678400000,2019-09-16T20:00:00,Monday,10249.68,10275.0,10128.01,10187.82,22914.324563
1568764800000,2019-09-17T20:00:00,Tuesday,10187.48,10258.02,10100.0,10156.99,24250.249303
1568851200000,2019-09-18T20:00:00,Wednesday,10156.41,10325.0,9653.0,10244.29,44826.282579
1568937600000,2019-09-19T20:00:00,Thursday,10243.7,10281.0,10061.39,10168.59,25088.491069
1569024000000,2019-09-20T20:00:00,Friday,10167.92,10176.7,9900.0,9986.39,20544.175196
1569110400000,2019-09-21T20:00:00,Saturday,9985.15,10089.0,9853.97,10028.87,22049.275256
1569196800000,2019-09-22T20:00:00,Sunday,10028.05,10049.99,9615.77,9702.25,31937.232356
1569283200000,2019-09-23T20:00:00,Monday,9702.2,9794.99,7800.0,8493.14,94007.345203
1569369600000,2019-09-24T20:00:00,Tuesday,8497.55,8730.0,8215.64,8430.05,60783.89225800001
1569456000000,2019-09-25T20:00:00,Wednesday,8430.05,8465.99,7750.0,8063.73,67930.853749
1569542400000,2019-09-26T20:00:00,Thursday,8063.49,8265.0,7852.15,8177.91,43882.924625
1569628800000,2019-09-27T20:00:00,Friday,8177.47,8315.0,8001.09,8198.81,34473.605165
1569715200000,2019-09-28T20:00:00,Saturday,8199.38,8229.13,7890.0,8043.82,31544.211388
1569801600000,2019-09-29T20:00:00,Sunday,8043.04,8337.26,7710.0,8289.34,55865.48726
1569888000000,2019-09-30T20:00:00,Monday,8289.97,8500.0,8173.05,8292.44,43472.418091
1569974400000,2019-10-01T20:00:00,Tuesday,8292.67,8373.91,8151.22,8359.94,26243.386644
1570060800000,2019-10-02T20:00:00,Wednesday,8360.0,8393.0,8060.0,8223.96,30488.284057999997
1570147200000,2019-10-03T20:00:00,Thursday,8224.43,8232.41,8005.0,8137.13,26476.330404
1570233600000,2019-10-04T20:00:00,Friday,8137.09,8183.41,8012.98,8126.19,21907.615564
1570320000000,2019-10-05T20:00:00,Saturday,8127.55,8153.87,7785.0,7854.25,34676.104049
1570406400000,2019-10-06T20:00:00,Sunday,7855.3,8299.92,7762.0,8190.09,52202.072297000006
1570492800000,2019-10-07T20:00:00,Monday,8190.82,8325.0,8088.75,8168.39,35452.657423000004
1570579200000,2019-10-08T20:00:00,Tuesday,8170.79,8670.0,8115.0,8560.74,55038.704377999995
1570665600000,2019-10-09T20:00:00,Wednesday,8562.15,8644.0,8414.52,8558.03,39137.946167
1570752000000,2019-10-10T20:00:00,Thursday,8557.82,8779.51,8212.38,8258.5,50405.284418
1570838400000,2019-10-11T20:00:00,Friday,8257.95,8400.0,8250.0,8300.09,21339.334098
1570924800000,2019-10-12T20:00:00,Saturday,8301.98,8451.37,8160.0,8275.01,27840.739952999997
1571011200000,2019-10-13T20:00:00,Sunday,8275.24,8388.85,8203.0,8348.2,29810.663253
1571097600000,2019-10-14T20:00:00,Monday,8346.86,8403.0,8090.0,8159.29,32773.062476
1571184000000,2019-10-15T20:00:00,Tuesday,8159.3,8181.16,7917.0,7991.74,34733.593966
1571270400000,2019-10-16T20:00:00,Wednesday,7995.02,8124.92,7929.03,8070.58,29656.949158
1571356800000,2019-10-17T20:00:00,Thursday,8070.71,8115.0,7816.01,7947.01,31353.181416000003
1571443200000,2019-10-18T20:00:00,Friday,7946.89,8098.1,7866.92,7948.01,26627.889388
